iteration,timesteps,episodes,goal_rate,goal_rate_ma5,difficulty
1,10000,81,77.78,77.78,0.10
2,20000,51,49.02,63.40,0.10
3,30000,55,54.55,60.45,0.10
4,40000,55,61.82,60.79,0.20
5,50000,44,40.91,56.81,0.20
6,60000,47,44.68,50.19,0.20
7,70000,51,52.94,50.98,0.20
8,80000,56,60.71,52.21,0.30
9,90000,57,75.44,54.94,0.30
10,100000,56,64.29,59.61,0.40
11,110000,64,81.25,66.93,0.50
12,120000,60,86.67,73.67,0.50
13,130000,53,71.70,75.87,0.60
14,140000,47,74.47,75.67,0.70
15,150000,49,81.63,79.14,0.70
16,160000,43,60.47,74.99,0.80
17,170000,45,60.00,69.65,0.80
18,180000,43,46.51,64.62,0.90
19,190000,38,42.11,58.14,0.90
20,200000,48,66.67,55.15,0.90
21,210000,46,63.04,55.67,1.00
22,220000,47,80.85,59.84,1.00
23,230000,42,57.14,61.96,1.00
24,240000,42,54.76,64.49,1.00
25,250000,46,67.39,64.64,1.00
26,260000,43,58.14,63.66,1.00
27,270000,47,72.34,61.96,1.00
28,280000,48,75.00,65.53,1.00
29,290000,44,70.45,68.67,1.00
30,300000,47,70.21,69.23,1.00
31,310000,42,64.29,70.46,1.00
32,320000,45,64.44,68.88,1.00
33,330000,49,79.59,69.80,1.00
34,340000,52,80.77,71.86,1.00
35,350000,49,83.67,74.55,1.00
36,360000,52,88.46,79.39,1.00
37,370000,45,71.11,80.72,1.00
38,380000,49,85.71,81.95,1.00
39,390000,54,88.89,83.57,1.00
40,400000,48,72.92,81.42,1.00
41,410000,56,85.71,80.87,1.00
42,420000,48,75.00,81.65,1.00
43,430000,45,73.33,79.17,1.00
44,440000,47,74.47,76.29,1.00
45,450000,48,77.08,77.12,1.00
46,460000,46,69.57,73.89,1.00
47,470000,50,80.00,74.89,1.00
48,480000,52,88.46,77.92,1.00
49,490000,49,85.71,80.16,1.00
50,500000,56,83.93,81.53,1.00
