iteration,timesteps,episodes,goal_rate,goal_rate_ma5,difficulty
1,10000,195,82.05,82.05,0.20
2,20000,148,70.27,76.16,0.30
3,30000,246,29.67,60.67,0.40
4,40000,119,58.82,60.20,0.40
5,50000,87,73.56,62.88,0.50
6,60000,135,45.19,55.50,0.60
7,70000,325,13.54,44.16,0.60
8,80000,144,34.72,45.17,0.60
9,90000,132,40.91,41.58,0.60
10,100000,68,72.06,41.28,0.70
11,110000,206,21.36,36.52,0.70
12,120000,87,54.02,44.61,0.70
13,130000,66,62.12,50.09,0.80
14,140000,97,41.24,50.16,0.90
15,150000,161,20.50,39.85,0.90
16,160000,125,24.80,40.54,0.90
17,170000,167,20.96,33.92,0.90
18,180000,91,39.56,29.41,0.90
19,190000,113,30.97,27.36,0.90
20,200000,90,42.22,31.70,0.90
21,210000,84,36.90,34.12,0.90
22,220000,171,17.54,33.44,0.90
23,230000,60,51.67,35.86,0.90
24,240000,64,56.25,40.92,0.90
25,250000,68,58.82,44.24,1.00
26,260000,85,41.18,45.09,1.00
27,270000,181,20.99,45.78,1.00
28,280000,85,35.29,42.51,1.00
29,290000,90,37.78,38.81,1.00
30,300000,58,68.97,40.84,1.00
31,310000,58,63.79,45.36,1.00
32,320000,59,62.71,53.71,1.00
33,330000,215,11.63,48.98,1.00
34,340000,106,33.02,48.02,1.00
35,350000,100,37.00,41.63,1.00
36,360000,53,66.04,42.08,1.00
37,370000,93,31.18,35.77,1.00
38,380000,73,34.25,40.30,1.00
39,390000,56,73.21,48.34,1.00
40,400000,56,69.64,54.86,1.00
41,410000,76,48.68,51.39,1.00
42,420000,160,22.50,49.66,1.00
43,430000,52,57.69,54.35,1.00
44,440000,79,39.24,47.55,1.00
45,450000,89,42.70,42.16,1.00
46,460000,61,55.74,43.57,1.00
47,470000,58,67.24,52.52,1.00
48,480000,97,35.05,47.99,1.00
49,490000,65,52.31,50.61,1.00
50,500000,59,67.80,55.63,1.00
