#{"t_start": 1783378746.528352, "env_id": "None"}
r,l,t
2196.939791,78,2.818049
2062.169459,77,4.506082
2148.355686,69,5.965171
2178.319595,69,7.481727
2192.746495,62,8.803366
2175.947401,71,10.237702
2096.952567,72,11.844356
2182.675915,71,13.351884
2191.087949,65,14.700075
2058.136455,69,16.143211
2183.401409,68,17.58619
2132.491923,70,19.063341
2087.0836,73,20.594844
2186.650532,66,22.003924
2166.189416,71,23.601718
2079.526341,68,33.257716
2146.443064,71,34.708041
2175.93054,75,36.286637
2183.241223,67,37.71361
-1549.600111,300,44.23273
2202.266452,62,45.91604
2157.758328,70,47.780136
2178.939359,67,49.851725
2174.455512,69,51.612165
2053.307851,89,53.869275
2189.594467,61,55.618642
1987.583985,75,57.482772
-1687.029893,300,64.219336
2179.727559,70,65.805256
2020.70898,83,67.654789
2109.385038,73,69.18999
2178.325178,72,70.878648
2168.875866,74,72.751907
2133.659109,72,74.56781
2118.06772,69,76.286183
2079.482496,78,78.182398
2123.285829,66,79.878583
2183.175413,68,81.901431
2167.952454,66,83.564737
-1521.239397,300,91.07735
2111.84257,74,92.966394
2181.548034,66,94.515628
2134.619699,70,96.097436
1977.37534,73,97.700413
2164.172187,70,99.264597
2193.669683,63,100.682577
2191.633616,61,102.068365
2027.698301,76,103.764105
2152.611378,67,105.295883
2188.660847,65,106.638432
2169.437401,73,108.200951
2177.144944,72,109.721446
-1619.098927,300,116.229667
-1614.626602,300,122.963105
2177.981557,70,124.447014
-1159.21665,300,136.412104
2059.763304,85,139.34153
2198.432273,54,141.651315
-1564.352138,300,152.783513
2076.557569,98,156.858646
2187.694773,47,158.94337
-1301.511532,300,169.348199
2173.103553,69,171.803675
2201.276089,53,173.963838
-1572.231015,300,185.252982
-516.844355,300,196.432712
-1338.573643,300,206.469688
2160.071616,79,210.276771
-1556.286217,300,220.358713
-909.589764,300,231.563405
-1452.606631,300,242.726176
2152.465979,41,243.476727
2064.310147,68,245.915968
2149.602084,63,248.215519
2021.542223,59,250.501681
-435.774273,300,261.699945
2022.749504,72,264.194545
-330.130872,300,275.372238
-956.79638,300,285.336208
2029.904443,78,289.104108
-707.722499,300,299.143081
-861.551417,300,310.705937
-704.217685,300,321.978113
-773.537296,300,332.14988
-1463.535192,300,343.444052
2171.576955,43,345.39471
-551.152952,300,355.382744
2103.003049,51,357.49266
2334.525642,69,359.928178
-1047.648007,300,371.35978
-380.015595,300,382.545083
2042.943927,87,385.282003
-609.915075,300,396.616438
1900.371117,259,405.739165
2266.115931,48,407.782937
1592.124821,277,417.433638
2285.073251,63,419.779643
1367.384412,284,429.657111
-656.096736,300,441.871657
-810.23545,300,455.149153
1733.509924,161,460.925963
-897.847345,300,473.523394
-704.902833,300,485.228297
-830.698001,300,495.275241
-1781.665312,300,506.523425
2307.217437,68,508.939336
-1163.855049,300,520.227968
2252.299804,43,521.016577
-742.001873,300,532.295941
2097.99247,59,534.580994
2075.203341,67,537.023054
-476.776003,300,548.419812
-804.583748,300,558.592174
-564.397107,300,569.856333
-754.296907,300,581.158119
2034.979698,92,584.028687
2111.074712,72,586.538704
-1219.387823,300,597.759281
2232.129159,50,599.889778
-1739.783114,300,610.025795
-841.067602,300,621.255928
-2364.232767,300,632.45737
2257.101254,47,634.590889
-1445.400123,300,644.514874
-439.063392,300,655.667581
2330.952738,58,658.378588
2264.301624,61,660.933068
2298.988173,50,663.336091
2026.288717,155,668.905935
2189.845882,47,671.163054
2345.65362,64,674.167763
2074.776172,104,677.321583
-584.938516,300,689.489287
2220.75839,57,691.68789
2231.273771,47,693.743715
2230.86403,53,695.940335
2100.822087,54,696.94114
-947.773604,300,708.220056
-1146.023969,300,719.346143
-1190.94186,300,729.38393
1700.811501,283,740.293022
2264.881663,54,742.460632
2430.042562,76,744.99789
2175.1803,64,747.406129
2022.444337,75,749.928008
2289.79321,54,752.108186
-1070.440973,300,763.322592
1601.880762,209,770.553281
2420.511547,70,773.316726
2177.56047,74,775.885569
2312.328684,72,778.357425
2195.855768,96,782.622164
-752.553627,300,792.72467
-420.03659,300,803.89269
-1091.85064,300,815.126906
-981.944405,300,825.252256
-365.136698,300,836.629005
-650.375027,300,848.026032
-463.388317,300,859.28067
-932.469314,300,869.215019
-1864.644882,300,880.518468
2069.569178,129,885.104828
-1683.98829,300,896.310049
-581.296757,300,906.73998
2292.497696,77,910.575405
-583.719893,87,913.321553
2245.971348,105,917.597001
1951.419379,99,920.537889
-707.220919,300,931.887358
2224.589111,56,934.074117
2011.497639,136,938.925965
2205.65262,64,941.274924
-1227.964136,208,948.561154
1815.8542,219,956.122694
1974.845705,77,959.929823
-629.822794,300,970.099446
2257.184331,59,972.61206
-139.378746,300,983.937023
2297.158846,58,986.179026
-1981.647804,206,993.44247
-2459.488182,300,1004.553901
2331.138299,64,1006.908658
2201.22068,99,1009.916582
2009.094726,137,1014.61813
1627.758882,191,1021.638085
-527.247387,300,1032.972483
-579.962071,300,1044.34423
2245.180447,50,1046.435565
1886.538166,239,1054.430344
-2259.63297,300,1065.753063
-1289.316964,300,1077.058541
-1168.790381,300,1087.225085
2223.336392,46,1089.252154
2009.140204,50,1091.39942
1771.74191,206,1098.588918
2116.012218,87,1101.335955
-659.79635,300,1112.631011
2100.942355,78,1115.222405
1924.882916,160,1121.710809
-342.504287,300,1133.009549
-900.050719,300,1143.44425
-1023.904947,300,1154.762724
2037.443698,158,1159.927774
-1437.731721,300,1171.228049
2052.362509,71,1173.723348
-3137.119462,300,1184.957286
1785.529618,238,1193.997496
2001.604531,109,1197.117938
-1614.28601,300,1208.473547
2177.854932,56,1210.674882
2162.856592,95,1213.584923
-455.808059,300,1224.467478
2332.701532,57,1226.72732
-393.051706,300,1237.839839
-433.77462,300,1247.959226
2246.125031,119,1252.489227
2029.747255,118,1257.010963
2371.671751,63,1259.352185
2323.739189,79,1262.056011
2168.984136,83,1264.743495
2220.217224,110,1269.106962
-1293.424505,300,1280.373456
1706.01299,151,1285.453252
1918.065189,61,1287.76491
-1450.348708,175,1294.400361
2100.203933,124,1298.981775
2214.951334,46,1301.021617
2110.053288,101,1304.130406
2369.625147,69,1306.663585
-509.173428,300,1317.634116
-923.838182,300,1329.296625
2276.502459,60,1331.558762
2051.084664,189,1338.504876
-1332.427289,300,1348.674914
1631.196633,271,1358.298379
-797.017122,300,1369.598604
2204.393751,118,1374.119457
