#{"t_start": 1783316199.098217, "env_id": "None"}
r,l,t
-481.587064,6,1.477226
-490.512979,3,1.598038
-495.26782,2,1.706766
-501.172959,1,1.787169
-517.576924,4,1.936565
-498.308809,2,2.032618
-498.009814,1,2.109063
-497.192687,2,2.235914
-512.987233,3,2.358727
-495.133216,1,2.436052
-490.824886,3,2.580051
-510.310039,2,2.675989
-500.457796,1,2.75887
-488.055487,3,2.897881
-495.426859,1,2.975705
-492.759262,3,3.118767
-499.9392,1,3.208875
-495.711511,2,3.308042
-500.828091,1,3.380061
-491.77145,2,3.487083
-500.587655,1,3.556814
-482.53333,5,3.727895
-491.097477,3,3.843307
-496.63227,3,3.966132
-492.778055,2,4.079093
-496.236541,3,4.202387
2234.973654,44,5.185381
2236.470432,41,6.127746
2225.200213,42,7.077102
2238.541147,42,8.043122
2233.696255,45,9.139882
2230.578036,46,10.225869
2190.392217,65,11.707945
2241.0712,41,12.719434
2225.724218,48,13.887414
2237.402335,44,15.058469
2233.621665,42,15.973957
-414.073738,18,16.405603
2218.339219,45,17.474783
2234.727775,42,18.456733
2243.811901,41,19.45241
2219.520901,49,20.613437
2234.981049,43,21.597241
2241.685233,42,22.603245
2232.511147,43,23.617923
2241.828431,45,24.650257
2200.910409,60,26.077778
2219.821444,51,27.306789
2235.569668,42,28.274885
2234.898068,47,29.388882
2228.920167,45,30.475901
2226.573804,44,31.543269
2234.43817,45,32.551705
2238.538661,40,33.542713
2235.051651,40,34.515902
2234.422769,41,35.449113
2227.618676,45,36.459736
2225.894529,48,37.601514
2235.040978,42,38.605256
2243.61666,41,39.595086
2217.887814,51,40.826272
2219.970526,51,42.025527
2242.363848,42,43.038385
2225.446747,45,44.078843
2238.631533,43,45.116011
2205.441357,60,46.496336
2240.977944,41,47.484873
2239.674935,42,48.448257
2236.633171,45,49.503905
2224.636404,51,50.745409
2245.067889,42,51.741173
2229.200333,44,52.779859
2236.9656,42,53.761391
-350.524163,50,54.934162
-495.739008,1,55.017704
-505.604695,6,55.21967
-500.49592,2,55.340843
-495.80633,1,55.430215
-495.274219,2,55.54628
2227.213962,43,56.5659
2229.264295,44,57.595241
2227.863748,46,58.67607
2362.037459,64,60.150556
2394.008911,75,61.889002
2363.849981,64,63.401216
2233.810454,46,64.477889
2327.057783,59,65.871263
2247.784405,56,67.211722
2249.218488,43,68.25003
2375.79839,72,69.952866
2264.155422,47,71.110339
2333.807547,75,72.880906
2260.668113,59,74.230055
2366.669793,65,75.763653
2333.75765,78,77.598046
2372.394831,66,83.397718
2429.380654,71,107.927336
2367.176147,64,125.98986
2170.576746,48,136.513751
2275.806614,56,145.107507
2258.531957,51,146.275352
2266.072031,49,147.528544
2267.294684,72,149.200583
2247.713151,46,150.410883
2344.876776,60,151.93198
2256.052579,47,153.004643
2183.919334,53,154.316824
2417.156038,86,156.336467
2407.515793,73,158.068182
2369.427361,71,159.654887
2331.734713,69,161.250865
2368.702502,87,163.302636
-320.781869,49,164.438817
2242.38767,66,165.950182
2206.471378,57,167.282236
2424.897465,80,169.160757
2294.156666,55,170.734042
2237.667908,57,172.069153
2298.243434,52,173.15779
2353.996446,78,174.802224
2378.696162,72,176.298066
2311.706505,58,177.571127
2336.943419,64,179.023582
2371.513283,87,181.06909
2403.124609,78,183.084606
2251.336132,44,184.060626
2416.689631,70,185.686876
2247.561351,57,187.020477
2324.20351,59,188.266455
2245.609171,43,189.206409
2335.902778,62,190.650469
2304.821542,77,192.407529
2379.175788,80,194.264778
2294.572259,55,195.554516
2420.460095,82,197.473373
2203.331032,50,198.659505
2322.972878,72,200.258984
2342.283867,58,201.59394
2252.148556,85,203.550669
2395.13333,74,205.375974
2355.818319,61,206.939522
2298.226537,63,208.447708
2320.967557,57,209.804147
2203.104394,62,211.32238
2361.7204,66,212.829139
2294.395035,50,214.102439
2378.456496,75,216.045685
2306.296047,59,217.545113
2318.885809,56,218.958517
2326.303479,61,220.402106
2159.030481,63,221.866262
2243.255618,67,223.447987
2192.791966,62,224.951671
2327.174333,56,226.28972
2191.030701,51,227.517454
2245.075846,44,228.582433
2261.084478,53,229.84747
2416.219723,69,231.438732
2368.998946,67,233.094948
2313.59062,56,234.468922
2260.547816,50,235.707314
2388.352783,69,237.386086
2445.505058,86,239.515028
2270.289641,48,240.745025
2352.97582,116,243.608423
2243.528512,42,244.730115
2170.665446,65,246.323603
2403.842693,106,248.935991
2379.601062,65,250.481806
2354.61696,91,252.660953
2511.450749,90,254.908734
2438.871354,90,257.025514
2336.556618,82,258.971653
2350.823885,65,260.621766
2412.659395,99,263.063836
2227.011428,48,264.285262
2314.162097,56,265.678264
2265.152155,53,266.944895
2630.782096,108,269.478311
2507.824186,103,272.361114
2186.838328,79,274.229513
2461.370204,82,276.109523
2364.675254,88,278.09529
2295.169264,59,279.603703
2305.706869,53,280.814147
2586.96572,104,283.39108
2262.29439,63,284.969038
2478.040279,108,287.526873
2244.105287,65,289.052914
-469.489246,46,290.128089
2307.989769,51,291.347295
2457.29315,107,293.803687
2306.635099,57,295.156441
2478.089723,104,297.577444
2289.067724,102,299.981438
2320.750038,85,306.396976
2271.71213,60,307.973797
2492.656661,89,310.034536
-405.216871,30,310.767407
2099.128968,51,311.987371
2248.730514,57,313.304429
2193.39097,64,314.790233
2340.678498,68,316.510327
2334.111778,97,319.077533
2195.710538,74,320.84583
2458.808036,106,323.557235
2518.149601,114,326.344358
-288.857427,47,327.497468
-493.637496,3,327.680719
-489.800039,2,327.788146
-497.094903,1,327.916394
-502.507372,1,328.04675
-481.832094,4,328.252102
-493.885825,6,328.499734
-490.418085,3,328.632522
-490.324861,3,328.77291
-493.754128,1,328.854366
-519.215603,4,329.002208
-501.878792,1,329.083345
-503.861297,3,329.213913
-484.996156,4,329.376397
-501.841225,2,329.490138
-502.595116,1,329.57618
-501.91058,1,329.677407
-510.209227,3,329.810468
-497.069859,3,330.02119
-512.421379,4,330.265523
-522.803943,3,330.405192
-511.047667,5,330.602396
-505.693608,2,330.713844
-499.761211,1,330.811359
-497.518735,3,330.947568
-495.096566,2,331.070129
-509.999533,2,331.192229
-515.496814,3,331.317459
-498.695403,2,331.423674
-493.20546,3,331.565953
-480.648963,4,331.740767
-500.855199,1,331.844906
-502.052625,1,331.940693
-490.103439,3,332.086854
-475.947354,7,332.357201
-499.63257,1,332.453631
2549.795911,98,334.710023
2318.590754,97,336.915516
2340.696182,69,338.714209
2396.72322,95,340.993949
2382.151727,93,343.105449
2581.153601,110,345.542736
2205.407903,45,346.590759
2363.162328,61,347.987293
2457.078484,82,349.963264
2583.251961,100,352.312154
2259.842067,47,353.412825
2191.235122,125,356.231856
2311.914172,107,358.72285
2589.569055,103,361.117901
2266.152261,68,362.82207
2625.543751,108,365.33382
2213.6601,49,366.435368
2428.243274,77,368.280299
2283.41698,55,369.583573
2470.67259,102,371.89447
2460.574166,110,374.382688
2308.885611,68,376.072234
-389.807196,77,378.134565
2253.579825,73,379.945198
2226.113997,58,381.552589
2396.138997,92,383.873356
2363.031823,97,386.343802
2358.584926,61,388.406554
2333.834331,60,389.839478
2351.116399,62,391.376283
2530.073809,103,393.828885
2570.453956,110,396.606465
2308.938034,82,398.782691
2409.069613,74,400.672928
2415.809535,76,402.57065
2047.760274,74,404.556142
2226.646585,55,406.05271
2372.240399,97,408.328912
2434.92863,89,410.437584
2285.942531,54,411.709657
2444.954352,99,414.248595
2460.152587,122,417.580383
2213.559453,75,419.497825
2423.993399,96,421.820605
2415.811296,75,423.879837
2316.342496,55,425.522541
2416.072334,87,428.015026
2465.659866,87,430.066596
2228.563429,49,431.199502
2282.067171,48,432.409943
2423.449413,122,435.132799
2164.196301,67,436.792499
2824.426706,141,440.136325
2516.249873,88,442.156789
2446.521438,75,443.959345
2406.339727,90,446.297127
2667.399891,128,449.400143
2577.948175,107,452.500045
2201.293987,58,454.936914
2770.285144,139,459.076435
2084.472642,79,460.994717
2359.705189,121,464.217632
2423.358833,85,466.427242
1919.937091,78,468.358166
2639.727789,145,471.59989
2810.107235,139,475.052937
2219.371507,85,476.9995
2385.429397,75,479.00999
-0.104011,115,482.121508
2272.452009,72,484.206003
-249.345938,44,485.56487
2671.277477,141,489.235492
2421.642311,97,491.749038
-254.033799,79,493.539064
2072.055035,61,495.671257
2265.284294,49,497.297428
2635.757534,123,500.319405
2348.072946,91,503.180578
2694.730226,121,507.032325
2607.66877,109,509.72943
2739.73269,137,513.74996
-347.286938,134,517.048303
2432.448068,119,519.958464
2538.038171,114,522.95996
2156.058565,54,524.495542
-282.561515,108,527.409815
1898.122048,76,529.259001
2600.982518,118,532.176147
2463.598441,92,534.735846
2247.097568,53,536.05609
2765.904388,158,539.903307
2605.902826,155,543.582053
2112.889381,58,545.21611
2616.197364,108,548.374506
2653.898895,153,553.529297
2144.335315,92,558.234752
-517.966086,28,558.972738
1978.222549,57,560.412767
2351.230422,71,562.115183
2661.414917,147,565.259459
2442.444101,84,573.667506
2406.862221,105,575.965131
2174.337374,79,577.777588
2788.185094,145,582.434076
2314.689314,84,585.073536
2360.780278,96,587.665008
2301.978882,77,589.574848
2630.005612,169,594.143323
-393.367204,31,594.953474
2356.673557,76,596.87014
2631.478376,140,600.353161
2581.759455,106,602.947497
2399.662078,80,605.32447
2303.464383,85,610.740971
2488.148084,91,613.716499
2411.752878,89,616.356421
2709.502365,116,619.914409
2442.046601,79,622.647673
2417.576842,84,625.091519
2346.367654,58,626.693717
2762.80008,131,630.554981
2252.412868,46,631.804845
-426.119009,64,634.59044
2492.322089,120,638.132319
2536.855765,120,642.546831
2475.863672,99,645.871425
2425.122189,124,649.143009
2599.17363,119,652.539142
2380.208711,92,654.864735
2435.794593,115,658.12632
2233.738666,52,659.441356
2888.356644,155,663.68652
2332.254864,146,667.188133
2424.360273,72,668.945066
2066.075315,96,671.269338
2355.764493,60,672.812066
2129.705497,94,675.082651
2267.620805,138,678.405199
2125.189992,103,680.806669
-361.601396,138,684.122681
2320.453609,89,686.48395
2756.163835,170,690.758912
2392.66738,165,695.023203
2415.653416,69,696.777153
2672.386124,172,700.849749
2500.879143,95,702.911085
2071.185497,80,704.785383
2491.720972,80,706.879901
2519.361713,165,711.022665
-302.721321,98,713.416009
2755.035694,125,716.153718
-190.824496,64,717.702514
2435.611354,110,720.330697
-127.285462,121,723.329568
-233.853841,114,726.14178
2391.670779,124,729.063779
2726.382815,152,733.317445
2475.957901,153,737.500461
-386.156236,35,738.334014
-502.450653,1,738.419917
-537.344238,4,738.588867
-500.958141,1,738.674701
-496.515149,3,738.812338
-503.88533,4,738.962559
-504.005891,1,739.05652
-485.221054,3,739.198271
-535.277734,3,739.348325
-500.632549,1,739.4426
-506.021753,3,739.573532
-523.179099,3,739.700203
-499.703788,1,739.796113
-540.778254,4,739.958618
-502.091351,1,740.04046
-474.302417,6,740.266491
-506.12298,2,740.387459
-533.864777,3,740.514877
-497.073843,2,740.620795
-499.429284,1,740.716444
1087.117462,300,748.173779
-560.0,1,748.282995
-508.508551,1,748.365773
-560.0,1,748.461803
-510.390486,2,748.571081
-502.85405,1,748.659746
-501.749151,1,748.743361
-502.558967,1,748.828943
-502.106667,1,748.9103
-462.490578,5,749.081249
-524.687089,3,749.213604
-465.206814,6,749.41893
-509.173101,3,749.547548
-502.881632,3,749.665813
-486.584452,9,750.01296
-516.183145,2,750.13387
-488.561062,2,750.233109
-506.202972,2,750.354434
-523.529276,3,750.490829
-518.042273,1,750.583097
-502.587442,2,750.691869
-504.393695,2,750.796304
-506.54183,5,750.958467
-563.169752,5,751.131279
-500.642847,1,751.214528
-506.305813,1,751.312563
-488.962389,3,751.445508
-499.946492,3,751.567628
-495.748339,1,751.655974
-500.399839,1,751.742637
-487.892671,5,751.903323
-514.440111,5,752.078839
-499.721852,2,752.191916
-501.632776,3,752.312336
-514.624452,5,752.477853
-524.156511,2,752.583355
-495.071925,3,752.698422
-501.616921,1,752.77578
-525.89135,4,752.923918
-488.026239,2,753.043335
-493.12548,1,753.129951
-501.59467,1,753.201763
-512.030568,4,753.371819
-504.935862,5,753.62272
-480.691482,4,753.7884
-508.686758,1,753.875051
-504.237672,1,753.972778
-494.263358,4,754.134687
-531.51234,3,754.27631
-510.432148,3,754.395455
-494.561473,3,754.529252
-505.300328,1,754.61588
-498.352737,1,754.704449
-492.597085,3,754.846072
-485.351816,3,754.971022
-493.087367,3,755.107491
-497.660608,3,755.271749
-494.875257,3,755.424539
-533.202395,5,755.621036
-494.666002,1,755.705687
-506.82291,1,755.800118
-508.074326,1,755.902317
-499.591815,3,756.025686
-484.845595,3,756.149427
-507.237706,5,756.30735
-495.403984,3,756.447278
-501.500214,5,756.620769
-510.452868,3,756.745179
-509.321946,4,756.891429
-533.245165,5,757.054271
-503.312588,1,757.133372
-524.785039,5,757.346658
-496.505173,5,757.528162
-496.422739,2,757.641223
-487.57498,2,757.754679
-506.077872,3,757.887883
-488.737796,2,757.996314
-496.226679,1,758.075317
-504.312915,1,758.177801
-501.07678,1,758.274717
-500.617391,5,758.434074
-500.178415,1,758.534427
-522.592803,5,758.704152
-535.205134,4,758.85907
-489.166371,3,758.97815
-493.297512,3,759.108362
-508.853608,3,759.247184
-510.543013,6,759.478996
-483.676128,4,759.625462
-523.0315,3,759.76468
-490.859996,1,759.849732
-502.563205,1,759.924557
-477.854682,6,760.134051
-506.774817,3,760.268142
-512.826071,4,760.413851
-545.255615,6,760.621786
-497.73796,3,760.747137
1955.805349,94,762.80951
2401.791797,76,764.516717
2478.786746,97,766.721975
2199.200375,80,768.695827
2421.047154,81,770.694309
2520.603973,158,774.128104
2458.100904,117,776.702826
2678.388337,124,779.292453
2391.90304,92,781.225525
2422.691282,100,783.36001
2443.458714,80,785.28439
2517.397291,92,787.260298
-493.569282,31,787.997005
1167.093604,300,794.771915
-560.0,1,794.865331
-560.0,1,794.967384
-507.411168,1,795.041573
-503.112901,1,795.130249
-499.755289,1,795.208237
-500.406542,1,795.297926
-499.987836,1,795.374827
-500.673261,1,795.447739
-513.381799,2,795.553667
-498.693361,1,795.628088
-500.458459,1,795.704307
-515.180911,3,795.815416
-526.309806,5,795.979863
-149.401706,82,797.818027
2306.521428,105,800.199081
-311.702007,34,801.002405
1753.44868,106,803.378101
2529.625287,130,806.289998
2679.332848,128,809.186255
2220.022956,117,811.864918
2857.351485,180,815.889266
2379.385283,139,819.021403
-264.265523,65,820.520109
2500.57942,84,822.469686
-170.779436,79,824.233173
2327.630435,60,825.576505
-0.889421,164,829.310469
-502.640111,1,829.397802
-498.814872,3,829.527116
-532.015387,3,829.656763
-502.401362,1,829.741111
-497.005762,3,829.870113
-504.558259,3,829.999607
-557.668612,6,830.176593
-506.37362,1,830.258062
-496.765073,2,830.365029
-511.879317,2,830.469129
-500.515666,1,830.558455
-499.142596,4,830.708902
-506.806823,3,830.824364
-486.920516,6,831.007228
-497.055063,1,831.08823
-503.758325,3,831.232517
-502.323011,3,831.359209
-498.07052,4,831.505166
-503.697586,2,831.599685
-500.636378,1,831.681518
-497.973629,1,831.758266
-496.398012,4,831.914354
-501.850926,1,831.997579
-502.794263,1,832.087606
-505.105756,1,832.172384
-485.71542,3,832.293365
-501.40005,1,832.374924
